,Job Title,Company Name,Job Location,Posted On,Number of Applicants 
0,Data Scientist- (For Gildan-G.A.B. Limited) - Job ID: 1269707,Bdjobs.com,"Dhaka, Bangladesh",2 weeks ago,Over 100 applicants
1,Oracle Database Administrator,4P Marketing Consultancy,"Dhaka, Bangladesh",2 weeks ago,60 applicants
2,Data Scientist,Gildan,"Dhaka, Bangladesh",2 weeks ago,Over 100 applicants
3,Data Engineer,Data Crafters,"Dhaka, Bangladesh",1 week ago,41 applicants
4,Executive/Sr. Executive - ICT (ERP) - For A Reputed Garments Manufacturing Group of Company,Bdjobs.com,"Dhaka, Bangladesh",2 weeks ago,9 applicants
5,Executive/ Sr. Executive - Performance Management System (PMS) - (For Fakir Apparels Ltd.),Bdjobs.com,"Dhaka, Bangladesh",3 weeks ago,5 applicants
6,Analyst,Nahee SS Pipes Industries Limited,"Dhaka, Bangladesh",1 week ago,45 applicants
7,Immunization Consultant,PATH,"Dhaka, Bangladesh",3 weeks ago,81 applicants
8,AI Software QA Tester,AIDevStudio.ai,"Dhaka, Bangladesh",Reposted 1 week ago,Over 100 applicants
9,Software Engineer for AI Training Data (Swift),G2i Inc.,"Dhaka, Bangladesh",4 days ago,20 applicants
10,Network Engineer-IT - For Best Tycoon (BD) Enterprise Limited,Bdjobs.com,"Dhaka, Bangladesh",3 weeks ago,94 applicants
11,Data Analyst,Talent Disruptors,"Dhaka, Bangladesh",4 months ago,0 applicants
12,"Analyst, Logistics(Freight Pay Origin-Panyu)",Centric Brands,"Dhaka, Bangladesh",4 days ago,44 applicants
13,Machine Learning Engineer,Alexa Translations,"Dhaka, Bangladesh",1 month ago,Over 100 applicants
14,Software Engineer for AI Training Data (Python),G2i Inc.,"Dhaka, Bangladesh",3 days ago,0 applicants
15,Associate Systems Engineer / Systems Engineer,MillenniumIT ESP,"Dhaka, Bangladesh",1 week ago,0 applicants
16,Python Developer - LLM Project,YO HR Consultancy,"Dhaka, Bangladesh",4 weeks ago,Over 100 applicants
17,Associate System Administrator,Therap (BD) Ltd.,"Dhaka, Bangladesh",6 months ago,0 applicants
18,Python Data Scientist - LLM Project,YO HR Consultancy,"Dhaka, Bangladesh",3 weeks ago,Over 100 applicants
19,Graduate Associate - Bangladesh,Standard Chartered,"Dhaka, Bangladesh",3 days ago,Over 100 applicants
20,Python Developer,Cerebital,"Dhaka, Bangladesh",4 months ago,0 applicants
21,Data Analyst,Clipboard Health,"Dhaka, Bangladesh",2 days ago,Over 100 applicants
22,Python Data Scientist/Analyst - LLM Project,YO HR Consultancy,"Dhaka, Bangladesh",1 month ago,Over 100 applicants
23,Software Engineer,Orbitax Bangladesh,"Dhaka, Bangladesh",2 weeks ago,Over 100 applicants
24,Jr. Software Project Coordinator - Dhaka,SJ Innovation LLC,"Dhaka, Bangladesh",3 weeks ago,0 applicants
